subject_id,gender,dob,test_loc,age_years,language_status
EVwlI,,,,adult,second
yS4JM,,,,adult,second
dbBjs,,,,adult,second
BhmYV,,,,adult,second
G1vlN,,,,adult,second
LgVa9,,,,adult,second
op3Fc,,,,adult,second
Jei26,,,,adult,second
XYrkk,,,,adult,second
VBkXj,,,,adult,second
uoLBu,,,,adult,second
Jmc8P,,,,adult,second
79Hwm,,,,adult,second
tPVsB,,,,adult,second
eYfkg,,,,adult,second
