subject_id,trial_number,trial_id,target_sentence,foil_sentence,target_side,foil_side,trial_type,presentation_order,date_stamp,time_stamp,side_chosen,accuracy,rt,times_played,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
khGKHsSu8IoD6ppSzgVFZkUlX,1,c,the_mouse_loves_cheese,the_cat_is_sleeping,right,left,training,1,9/20/2016,10:18,right,1,4799.999999999999,2,2013-12-21,,,,,,2,1,female
khGKHsSu8IoD6ppSzgVFZkUlX,2,b,the_frog_is_jumping,the_mouse_loves_cheese,left,right,training,0,9/20/2016,10:18,right,0,5351.999999999999,1,2013-12-21,,,,,,2,1,female
khGKHsSu8IoD6ppSzgVFZkUlX,3,a,the_cat_is_sleeping,the_frog_is_jumping,right,left,training,1,9/20/2016,10:18,right,1,2968.999999999999,2,2013-12-21,,,,,,2,1,female
khGKHsSu8IoD6ppSzgVFZkUlX,4,14,he_finished_all_the_chocolates,she_has_cereal_for_breakfast,left,right,critical,0,9/20/2016,10:18,right,0,1822.999999999999,4,2013-12-21,,,,,,2,1,female
khGKHsSu8IoD6ppSzgVFZkUlX,5,13,the_butterfly_is_pretty,the_pizza_was_too_hot,left,right,critical,1,9/20/2016,10:18,left,1,9893,2,2013-12-21,,,,,,2,1,female
khGKHsSu8IoD6ppSzgVFZkUlX,6,5,the_turtle_lives_in_the_sea,we_had_pasta_for_dinner,right,left,critical,0,9/20/2016,10:18,right,1,7571.999999999999,1,2013-12-21,,,,,,2,1,female
khGKHsSu8IoD6ppSzgVFZkUlX,7,12,the_pizza_was_too_hot,the_dolphins_are_swimming,left,right,critical,1,9/20/2016,10:18,left,1,12759,2,2013-12-21,,,,,,2,1,female
khGKHsSu8IoD6ppSzgVFZkUlX,8,22,she_bought_a_cake,he_made_a_salad,left,right,critical,1,9/20/2016,10:18,right,0,6393.999999999999,1,2013-12-21,,,,,,2,1,female
khGKHsSu8IoD6ppSzgVFZkUlX,9,6,the_bee_is_on_the_flower,the_birds_are_flying,right,left,critical,1,9/20/2016,10:18,right,1,1504.999999999999,1,2013-12-21,,,,,,2,1,female
khGKHsSu8IoD6ppSzgVFZkUlX,10,24,the_monkey_is_up_in_the_tree,the_ladybirds_are_very_red,left,right,critical,1,9/20/2016,10:18,right,0,1417.999999999999,1,2013-12-21,,,,,,2,1,female
khGKHsSu8IoD6ppSzgVFZkUlX,11,4,we_had_pasta_for_dinner,she_likes_eating_carrots,right,left,critical,0,9/20/2016,10:18,right,1,3851.999999999999,1,2013-12-21,,,,,,2,1,female
khGKHsSu8IoD6ppSzgVFZkUlX,12,10,the_chickens_lay_eggs,he_finished_all_the_chocolates,left,right,critical,1,9/20/2016,10:18,right,0,1950.999999999999,1,2013-12-21,,,,,,2,1,female
khGKHsSu8IoD6ppSzgVFZkUlX,13,7,the_ladybirds_are_very_red,the_elephant_is_very_big,right,left,critical,0,9/20/2016,10:18,left,0,339.9999999999991,1,2013-12-21,,,,,,2,1,female
khGKHsSu8IoD6ppSzgVFZkUlX,14,9,the_elephant_is_very_big,the_monkey_is_up_in_the_tree,right,left,critical,0,9/20/2016,10:18,left,0,9432,1,2013-12-21,,,,,,2,1,female
khGKHsSu8IoD6ppSzgVFZkUlX,15,20,the_cheese_is_tasty,she_bought_a_cake,right,left,critical,1,9/20/2016,10:18,right,1,2311.999999999999,2,2013-12-21,,,,,,2,1,female
khGKHsSu8IoD6ppSzgVFZkUlX,16,3,the_horses_are_in_the_field,the_fish_are_in_the_river,left,right,critical,0,9/20/2016,10:18,left,1,209.9999999999991,3,2013-12-21,,,,,,2,1,female
khGKHsSu8IoD6ppSzgVFZkUlX,17,23,the_fish_are_in_the_river,he_is_peeling_a_banana,left,right,critical,0,9/20/2016,10:18,left,1,949.9999999999991,1,2013-12-21,,,,,,2,1,female
khGKHsSu8IoD6ppSzgVFZkUlX,18,17,we_took_some_sandwiches,he_dropped_the_cheeseburger,right,left,critical,1,9/20/2016,10:18,left,0,7777.999999999999,1,2013-12-21,,,,,,2,1,female
khGKHsSu8IoD6ppSzgVFZkUlX,19,19,he_made_a_salad,we_took_some_sandwiches,left,right,critical,0,9/20/2016,10:18,right,0,853.9999999999991,1,2013-12-21,,,,,,2,1,female
